,,,,2021-09-15 18:55:46.640000
^IBEX,IBEX 35,"8.635,40","178,101M",2021-09-15 18:55:46.640000
^GSPC,S&P 500,"4.480,70","2,126B",2021-09-15 18:55:46.640000
^DJI,Dow Jones Industrial Average,"34.814,39","324,976M",2021-09-15 18:55:46.640000
^IXIC,Nasdaq,"15.161,53","4,049B",2021-09-15 18:55:46.640000
^FTSE,FTSE 100,"7.016,49",0,2021-09-15 18:55:46.640000
^FCHI,CAC 40,"6.583,62",0,2021-09-15 18:55:46.640000
^GDAXI,DAX PERFORMANCE-INDEX,"15.616,00",0,2021-09-15 18:55:46.640000
^STOXX50E,ESTX 50 PR.EUR,"4.145,94",0,2021-09-15 18:55:46.640000
^N225,NIKKEI 225,"30.511,71",0,2021-09-15 18:55:46.640000
^HSI,HANG SENG INDEX,"25.033,21",0,2021-09-15 18:55:46.640000
^BVSP,IBOVESPA,"115.062,54",0,2021-09-15 18:55:46.640000
^MXX,IPC MEXICO,"52.192,33","174,574M",2021-09-15 18:55:46.640000
^IPSA,S&P/CLX IPSA,"5.058,88",0,2021-09-15 18:55:46.640000
^BVSP,IBOVESPA,"115.062,54",0,2021-09-15 18:55:46.640000
^N100,EURONEXT 100,"1.298,60",0,2021-09-15 18:55:46.640000
^BFX,BEL 20,"4.125,09",0,2021-09-15 18:55:46.640000
^ATX,Austrian Traded Index in EUR,"3.663,08",0,2021-09-15 18:55:46.640000
^OMXC20,OMX Copenhagen 20,"1.790,24",0,2021-09-15 18:55:46.640000
^OSEAX,Oslo Bors All-Share Index_GI,"1.017,37","371,464M",2021-09-15 18:55:46.640000
FTSEMIB.MI,FTSE MIB Index,"25.762,10",0,2021-09-15 18:55:46.640000
^OMXSPI,OMX Stockholm_PI,"968,20",0,2021-09-15 18:55:46.640000
^SSMI,SMI PR,"11.984,83",0,2021-09-15 18:55:46.640000
^GSPC,S&P 500,"4.480,70","2,126B",2021-09-15 18:55:46.640000
^JKSE,Jakarta Composite Index,"6.110,23",0,2021-09-15 18:55:46.640000
^KS11,KOSPI Composite Index,"3.153,40",616.557,2021-09-15 18:55:46.640000
^TWII,TSEC weighted index,"17.354,00",0,2021-09-15 18:55:46.640000
^TA125.TA,TA-125,"1.862,53",0,2021-09-15 18:55:46.640000
INDC.MC,IBEX MEDIUM CAP...,"13.295,80","7,21M",2021-09-15 18:55:46.640000
INDS.MC,IBEX SMALL CAP...,"8.330,60","119,168M",2021-09-15 18:55:46.640000
INDD.MC,IBEX TOP DIVIDENDO...,"2.456,00","111,555M",2021-09-15 18:55:46.640000
^KLSE,FTSE Bursa Malaysia KLCI,"1.555,26",0,2021-09-15 18:55:46.640000
^NZ50,S&P/NZX 50 INDEX GROSS,"13.099,30",0,2021-09-15 18:55:46.640000
^CASE30,EGX 30 Price Return Index,"11.149,40","80,205M",2021-09-15 18:55:46.640000
^JN0U.JO,Top 40 USD Net TRI Index,"4.338,49",0,2021-09-15 18:55:46.640000
