ACS,23.27,-1.43,1412859.0,18/09/2021
Atresmedia,3.538,0.0,212344.0,18/09/2021
Acerinox,11.545,0.91,2092821.0,18/09/2021
BBVA,5.779,-0.91,222751200.0,18/09/2021
Bankinter,5.018,0.2,5056133.0,18/09/2021
Acciona,141.6,2.2,146015.0,18/09/2021
Caixabank,2.598,0.43,25972040.0,18/09/2021
Enagas,18.915,-1.48,2103987.0,18/09/2021
FCC,11.04,0.18,1094223.0,18/09/2021
Naturgy Energy,21.8,-1.05,1870160.0,18/09/2021
Gamesa,22.73,-1.6,1611406.0,18/09/2021
Grifols,20.5,5.77,3024372.0,18/09/2021
Ferrovial,24.85,-1.21,1500312.0,18/09/2021
Red Electrica,17.34,-1.27,2001150.0,18/09/2021
Inditex,31.42,1.47,5101466.0,18/09/2021
Repsol,10.18,0.12,14898604.0,18/09/2021
Iberdrola,9.43,-0.17,26994000.0,18/09/2021
Indra A,9.01,3.04,753366.0,18/09/2021
Mapfre,1.83,0.94,3911260.0,18/09/2021
Telefonica,4.125,0.75,24899600.0,18/09/2021
Mediaset,4.86,-0.33,584999.0,18/09/2021
Sacyr,2.17,0.37,3243740.0,18/09/2021
B. Sabadell,0.623,3.03,72088800.0,18/09/2021
Santander,3.1445,-2.06,126899632.0,18/09/2021
Inmobiliaria Colonial,8.75,0.0,3104664.0,18/09/2021
Tecnicas Reunidas,7.46,-0.4,252411.0,18/09/2021
OHL,0.62,-1.31,1176740.0,18/09/2021
IAG,1.695,4.51,26732600.0,18/09/2021
Ebro Foods,16.28,0.24,119123.0,18/09/2021
Endesa,18.16,1.0,3712645.0,18/09/2021
Amadeus,52.08,2.21,14399689.0,18/09/2021
DIA,0.0179,-2.81,86589904.0,18/09/2021
Vertice 360 Grados,3.71,-0.13,776.0,18/09/2021
Laborat.Rovi,57.0,0.88,111484.0,18/09/2021
General Alquiler Maquinaria,1.55,-4.09,5916.0,18/09/2021
Solaria,15.1,-0.64,3187955.0,18/09/2021
Airtificial Intelligence,0.109,0.0,874048.0,18/09/2021
Alantra Partners,15.7,1.61,3319.0,18/09/2021
Alba SA,48.05,0.52,8191.0,18/09/2021
Promotora Informaciones,0.576,-7.29,8819218.0,18/09/2021
Melia Hotels,5.8,2.05,974927.0,18/09/2021
Empresarial San Jose,4.95,0.0,16009.0,18/09/2021
Nueva Expresion,0.534,-1.11,93198.0,18/09/2021
Audax Renovables,1.774,2.64,518634.0,18/09/2021
Miquel Cost.,16.06,3.99,11266.0,18/09/2021
Grupo Catalana Occidente,31.1,0.0,40729.0,18/09/2021
Service P.S.,0.855,-3.9,9895.0,18/09/2021
ENCE,2.4,-0.83,289625.0,18/09/2021
Construcciones y Auxiliar,34.7,1.02,24745.0,18/09/2021
Urbas Grupo,0.0162,-1.84,19010530.0,18/09/2021
Inmobiliaria del Sur,7.34,5.0,8978.0,18/09/2021
Lingotes,11.85,0.0,129.0,18/09/2021
Iberpapel Gestion,19.8,1.27,1263.0,18/09/2021
Adolfo Dominguez,4.28,0.91,716.0,18/09/2021
Realia,0.682,-0.87,21015.0,18/09/2021
Nyesa Valores,0.0072,0.0,3829100.0,18/09/2021
Clinica Baviera,20.4,-3.5,1697.0,18/09/2021
Reno De Medici,1.442,0.0,12636.0,18/09/2021
Nicolas Correa,5.62,1.07,5500.0,18/09/2021
Cie Automotive,21.92,-0.18,250340.0,18/09/2021
Renta 4 Banco,9.0,0.0,901.0,18/09/2021
Laboratorio Reig Jofre,4.58,0.88,33601.0,18/09/2021
Grupo Ezentis SA,0.332,4.98,630762.0,18/09/2021
Duro Felguera,0.845,1.2,359247.0,18/09/2021
Zardoya Otis,5.46,-3.12,2897933.0,18/09/2021
Baron De Ley,113.0,0.0,280.0,18/09/2021
Montebalito,1.66,0.0,57724.0,18/09/2021
Metrovacesa,7.45,1.75,8963.0,18/09/2021
NH Hoteles,3.38,0.29,60440.0,18/09/2021
Faes Farma,3.26,0.37,239539.0,18/09/2021
Tubos Reunid,0.395,-1.87,384083.0,18/09/2021
Pescanova,0.485,1.53,64537.0,18/09/2021
Grifols Pref,12.2,6.18,638642.0,18/09/2021
Viscofan,60.4,0.0,84705.0,18/09/2021
Prosegur,2.69,-1.13,395107.0,18/09/2021
Almirall,14.4,0.99,668162.0,18/09/2021
Vocento,1.055,0.0,90.0,18/09/2021
Vidrala,99.6,-3.15,41237.0,18/09/2021
Tubacex,1.398,2.01,135551.0,18/09/2021
Renta Corp,1.975,0.5,5987.0,18/09/2021
Fluidra,35.9,-0.28,1871949.0,18/09/2021
Elecnor,9.8,0.81,4660.0,18/09/2021
Azkoyen,5.78,-1.69,2538.0,18/09/2021
Aperam,51.88,0.0,234.0,18/09/2021
Ercros,3.82,1.45,202819.0,18/09/2021
Codere,0.591,-1.53,282961.0,18/09/2021
Amper,0.19,-0.86,2669684.0,18/09/2021
Airbus Group,115.6,-1.73,7118.0,18/09/2021
Prim,14.85,1.37,2383.0,18/09/2021
