,,,,2021-09-23 21:42:08.449500
ACCIONA,145.7000,0.76,64337,2021-09-23 21:42:08.449500
ACERINOX,11.1700,0.00,941357,2021-09-23 21:42:08.449500
ACS,23.4600,0.60,450824,2021-09-23 21:42:08.449500
AENA,138.4000,-1.63,179594,2021-09-23 21:42:08.449500
ALMIRALL,14.2100,0.92,169118,2021-09-23 21:42:08.449500
AMADEUS,55.7200,-0.25,873998,2021-09-23 21:42:08.449500
ARCELORMIT.,26.0250,1.01,447464,2021-09-23 21:42:08.449500
B.SANTANDER,3.0830,2.99,35337267,2021-09-23 21:42:08.449500
BA.SABADELL,0.6616,1.75,30366370,2021-09-23 21:42:08.449500
BANKINTER,5.0360,1.76,2064721,2021-09-23 21:42:08.449500
BBVA,5.5700,2.81,29085498,2021-09-23 21:42:08.449500
CAIXABANK,2.6400,1.97,7952160,2021-09-23 21:42:08.449500
CELLNEX,57.7800,-0.38,449946,2021-09-23 21:42:08.449500
CIE AUTOMOT.,22.4000,1.63,158908,2021-09-23 21:42:08.449500
ENAGAS,19.3500,0.81,622027,2021-09-23 21:42:08.449500
ENDESA,18.1550,-0.08,1412572,2021-09-23 21:42:08.449500
FERROVIAL,25.3200,0.12,433453,2021-09-23 21:42:08.449500
FLUIDRA,38.0000,2.15,374972,2021-09-23 21:42:08.449500
GRIFOLS CL.A,22.2300,0.86,942971,2021-09-23 21:42:08.449500
IAG,2.0100,-0.94,15698223,2021-09-23 21:42:08.449500
IBERDROLA,9.3000,0.50,10113730,2021-09-23 21:42:08.449500
INDITEX,32.0400,-0.47,4442560,2021-09-23 21:42:08.449500
INDRA A,9.4750,1.66,726548,2021-09-23 21:42:08.449500
INM.COLONIAL,8.8400,0.97,571857,2021-09-23 21:42:08.449500
MAPFRE,1.8280,1.50,1797708,2021-09-23 21:42:08.449500
MELIA HOTELS,6.3000,2.51,1046845,2021-09-23 21:42:08.449500
MERLIN,9.3840,1.01,519482,2021-09-23 21:42:08.449500
NATURGY,21.6500,0.28,1666236,2021-09-23 21:42:08.449500
PHARMA MAR,79.4800,0.58,41634,2021-09-23 21:42:08.449500
R.E.C.,17.6250,0.66,1000838,2021-09-23 21:42:08.449500
REPSOL,10.6880,2.06,7044465,2021-09-23 21:42:08.449500
SIEMENS GAME,22.9800,2.04,970984,2021-09-23 21:42:08.449500
SOLARIA,14.9100,0.91,721715,2021-09-23 21:42:08.449500
TELEFONICA,4.0720,-0.01,10692443,2021-09-23 21:42:08.449500
VISCOFAN,58.5000,0.17,45422,2021-09-23 21:42:08.449500
